17475191368	【百草味】板栗仁80g	6948939602572	3.2	坚果炒货	果仁	板栗仁
16769812389	【百草味】芒果干120g	6948939601193	6.9	果干蜜饯枣	果干蜜饯	芒果干
553758129422	【百草味】牛轧奶芙（蔓越莓味）160g	6948939647153	6.2	糕点点心	传统糕点	牛轧奶芙
524771024967	【百草味】麻辣牛肉100g	6948939650115	6.8	肉类卤味	牛肉	麻辣牛肉
560535711049	【百草味】手撕素肉（香辣味）200g	6948939651693	6.18	豆干蔬菜	豆干制品	手撕素肉
578575811714	【百草味】手撕风干鸭脖（香辣味）180g	6948939674241	9.23	肉类卤味	鸭肉	手撕风干鸭脖
556326929823	【百草味】牛肉豆脯（五香味）120g	6948939664723	5.5	豆干蔬菜	豆干制品	牛肉豆脯
35409934272	【百草味】烘烤紫薯花生205g	6948939654076	4.85	坚果炒货	炒货	紫薯花生
544411517329	【百草味】开心果150g（新红版）	6948939669339	13.62	坚果炒货	坚果	开心果
581735705106	【百草味】牛轧奶芙（提子味）160g	6948939665164	6	糕点点心	传统糕点	牛轧奶芙
555133320469	【百草味】 香菇脆54g	6948939645081	8	果干蜜饯枣	蔬果干	香菇脆
40371890552	【百草味】原切牛肉条（五香味） 50g	6948939664389	5.55	肉类卤味	牛肉	原切牛肉条
558380838076	【百草味】巴旦木仁238g	6948939649119	17.28	坚果炒货	果仁	巴旦木仁
559777909645	【百草味】炭烧腰果100g(入仓专用)	6948939623188	7.44	坚果炒货	果仁	炭烧腰果
562071230816	【百草味】肉松饼260g	6948939654236	5.2	糕点点心	传统糕点	肉松饼
580300808206	【百草味】葵花籽500g	6948939679529	6.78	坚果炒货	炒货	葵花籽
553758065430	【百草味】牛轧奶芙（蔓越莓味）160g	6948939647153	6.2	糕点点心	传统糕点	牛轧奶芙
39455221546	【百草味】兰花豆(盐焗味)210g	6948939612359	2.99	坚果炒货	炒货	兰花豆
553873760426	【百草味】抱抱果灰枣夹核桃118g	6948939653109	7.72	果干蜜饯枣	枣类制品	抱抱果
586770690019	【百草味】泡芙（牛奶味）60g	6948939668905	2.94	饼干膨化	饼干	泡芙
580495485588	【百草味】抱抱果骏枣夹核桃210g（60天袋装）	6948939680495	0	果干蜜饯枣	枣类制品	抱抱果
574767377255	【百草味】酥心卷（芝士味）55g	6948939667151	4.9	饼干膨化	饼干	酥心卷
540639927468	【百草味】南瓜籽夹心海苔脆40g	6948939637673	6.05	海味零食	海苔系列	夹心海苔脆
591377642090	【百草味】哦耶开味乳乳饮品（草莓味）125ml	6948939673923	1.78	咖啡饮料	饮料	哦耶开味乳乳饮品
526376771819	【百草味】风干牛肉(香辣味)116g	6948939623324	20.83	肉类卤味	牛肉	风干牛肉
588628620437	【百草味】榴莲夹心白巧克力 62g	6948939676221	18.88	糖果果冻	巧克力	榴莲夹心白巧克力
12751637623	【百草味】话梅西瓜子200g(红版)	6948939611543	5.04	坚果炒货	炒货	西瓜子
579379570702	【百草味】鸭腿（麻辣味） 100g	6948939674272	4.36	肉类卤味	鸭肉	鸭腿
539786499110	【百草味】仁仁果颜值175g	6948939637789	16.94	坚果炒货	果仁	仁仁果
557164152368	【百草味】匆匆辣年调味面制品210g	6948939647986	5.6	豆干蔬菜	豆干制品	匆匆辣年辣条
554777376779	【百草味】绿豆糕（原味）168g	6948939666239	7.5	糕点点心	传统糕点	绿豆糕
552890242003	【百草味】糯米锅巴（原味）280g	6948939639080	5.97	饼干膨化	膨化	糯米锅巴
572093171917	【百草味】肉枣（烟熏味）60g	6948939657718	4.18	肉类卤味	猪肉	肉枣
585274464049	【百草味】榴莲饼300g	6948939629074	10	糕点点心	传统糕点	榴莲饼
579254245208	【百草味】鸭头（香辣味） 160g	6948939674289	10.56	肉类卤味	鸭肉	鸭头
554781268825	【百草味】牛轧饼干200g	6948939647634	5.2	饼干膨化	饼干	牛轧饼干
16174086062	【百草味】板栗仁80g	6948939602572	3.2	坚果炒货	果仁	板栗仁
560442937640	【百草味】草莓夹心白巧克力80g	6948939653208	10.99	糖果果冻	巧克力	草莓夹心白巧克力
579217601217	【百草味】芝士蛋羹 88g	6948939669711	3.41	肉类卤味	蛋制品	蛋羹
561773581191	【百草味】黄金玉米豆（奶油味）70g	6948939650818	1.4	饼干膨化	膨化	黄金玉米豆
21578403907	【百草味】风琴手撕鱿鱼片80g	6948939610232	6.99	海味零食	鱿鱼系列	风琴手撕鱿鱼片
586194892417	【百草味】一口巧芯酥125g	6948939673459	4.68	饼干膨化	饼干	一口巧芯酥
587981491710	【进口零食】丽芝士纳宝帝奶酪威化饼干	8993175537469	3.66	进口食品	饼干膨化	纳宝帝威化饼干
560525718357	【百草味】华夫饼（原味）1kg	6948939652324	19.5	糕点点心	西式糕点	华夫饼
540629400171	【百草味】巴旦木仁夹心海苔脆40g	6948939637666	6.35	海味零食	海苔系列	夹心海苔脆
39931058467	【百草味】手撕鱿鱼条80g	6948939612427	6.75	海味零食	鱿鱼系列	手撕鱿鱼条
552932535460	【百草味】糯米锅巴（香辣味）280g	6948939639097	5.97	饼干膨化	膨化	糯米锅巴
526318982982	【百草味】椰丝球210g	6948939628527	6.65	糕点点心	西式糕点	椰丝球
540628760339	【百草味】玉米片 (麻辣味) 75g	6948939673152	3.28	饼干膨化	膨化	玉米片
42124734754	【百草味】蔓越莓曲奇100g	6948939611864	3.98	饼干膨化	饼干	蔓越莓曲奇
13557799035	【百草味】南瓜子(盐焗味)160g	6948939610997	4.93	坚果炒货	炒货	南瓜子
41217457305	【百草味】黑加仑葡萄干200g	6948939612212	7.33	果干蜜饯枣	葡萄干	黑加仑葡萄干
539118158882	【百草味】牛板筋(烧烤味)125g	6948939624345	7.65	肉类卤味	牛肉	牛板筋
570027947747	【百草味】薄脆饼干（海苔味）308g	6948939659057	8.5	饼干膨化	饼干	薄脆饼干
575242630942	【百草味】酥的小黄鱼（火鸡辣味）50g	6948939668370	4.13	海味零食	鱼系列	酥的小黄鱼
20803767145	【百草味】紫皮腰果190g	6948939681133	15.58	坚果炒货	果仁	烘焙紫皮腰果
42168084960	【百草味】蔓越莓曲奇100g	6948939611864	3.98	饼干膨化	饼干	蔓越莓曲奇
540632933638	【百草味】综合蔬果条90g	6948939637680	7.3	饼干膨化	膨化	综合蔬果条
576279845250	【百草味】牛轧卷卷（蔓越莓味） 150g	6948939667670	6.28	饼干膨化	饼干	牛轧卷卷
39533771353		6948939684653				
